method_family,likely_LLM,whisper_audio,embedding,likely_nonLLM,unknown,total,pct_likely_LLM,pct_likely_nonLLM,pct_unknown
GPTQ,661,0,0,0,16,677,97.64%,0.00%,2.36%
ONNXRuntime,197,16,34,30,374,651,30.26%,4.61%,57.45%
llama.cpp/GGUF-convert,459,2,0,0,52,513,89.47%,0.00%,10.14%
torchao,149,1,0,7,203,360,41.39%,1.94%,56.39%
other,120,0,0,49,120,289,41.52%,16.96%,41.52%
AWQ,240,0,0,0,3,243,98.77%,0.00%,1.23%
OpenVINO/NNCF,42,1,2,70,94,209,20.10%,33.49%,44.98%
quanto,42,0,0,5,81,128,32.81%,3.91%,63.28%
Intel-NC,35,0,0,8,51,94,37.23%,8.51%,54.26%
SmoothQuant,62,0,0,1,14,77,80.52%,1.30%,18.18%
ExLlamaV2,74,0,0,0,0,74,100.00%,0.00%,0.00%
compressed-tensors,54,0,0,0,18,72,75.00%,0.00%,25.00%
AMD-Quark,63,0,0,0,7,70,90.00%,0.00%,10.00%
__all_self_quantized__,1932,20,36,167,1016,3171,60.93%,5.27%,32.04%
