section,kind,key,count,pct_of_basis,basis
overall,coverage,obtain_or_produce_total,3830,100.00%,obtain_or_produce=3830
overall,coverage,with_identifiable_precision,903,23.58%,obtain_or_produce=3830
overall,bitwidth,2-bit,4,0.44%,with_precision=903
overall,bitwidth,3-bit,2,0.22%,with_precision=903
overall,bitwidth,4-bit,274,30.34%,with_precision=903
overall,bitwidth,5-bit,12,1.33%,with_precision=903
overall,bitwidth,6-bit,4,0.44%,with_precision=903
overall,bitwidth,8-bit,584,64.67%,with_precision=903
overall,bitwidth,FP16,151,16.72%,with_precision=903
overall,bitwidth,FP32,42,4.65%,with_precision=903
overall,bitwidth,FP8,33,3.65%,with_precision=903
overall,bitwidth,other,34,3.77%,with_precision=903
overall,raw_tag,8bit,553,61.24%,with_precision=903
overall,raw_tag,4bit,200,22.15%,with_precision=903
overall,raw_tag,F16,97,10.74%,with_precision=903
overall,raw_tag,Q4_K_M,64,7.09%,with_precision=903
overall,raw_tag,FP16,50,5.54%,with_precision=903
overall,raw_tag,Q8_0,34,3.77%,with_precision=903
overall,raw_tag,FP8,33,3.65%,with_precision=903
overall,raw_tag,Q-other,30,3.32%,with_precision=903
overall,raw_tag,BF16,26,2.88%,with_precision=903
overall,raw_tag,F32,22,2.44%,with_precision=903
overall,raw_tag,FP32,21,2.33%,with_precision=903
overall,raw_tag,Q5_K_M,11,1.22%,with_precision=903
overall,raw_tag,Q4_0,10,1.11%,with_precision=903
overall,raw_tag,IQ-other,5,0.55%,with_precision=903
overall,raw_tag,Q6_K,4,0.44%,with_precision=903
overall,raw_tag,Q2_K,3,0.33%,with_precision=903
overall,raw_tag,IQ4_XS,3,0.33%,with_precision=903
overall,raw_tag,Q4_K_S,3,0.33%,with_precision=903
overall,raw_tag,Q4_1,1,0.11%,with_precision=903
overall,raw_tag,Q5_1,1,0.11%,with_precision=903
overall,raw_tag,Q3_K_S,1,0.11%,with_precision=903
overall,raw_tag,IQ2_XXS,1,0.11%,with_precision=903
overall,raw_tag,IQ3_XXS,1,0.11%,with_precision=903
llmstack,coverage,in_llmstack_scope,1552,40.52%,obtain_or_produce=3830
llmstack,coverage,with_identifiable_precision,276,17.78%,in_llmstack_scope=1552
llmstack,bitwidth,2-bit,3,1.09%,with_precision=276
llmstack,bitwidth,3-bit,2,0.72%,with_precision=276
llmstack,bitwidth,4-bit,130,47.10%,with_precision=276
llmstack,bitwidth,5-bit,9,3.26%,with_precision=276
llmstack,bitwidth,6-bit,2,0.72%,with_precision=276
llmstack,bitwidth,8-bit,48,17.39%,with_precision=276
llmstack,bitwidth,FP16,117,42.39%,with_precision=276
llmstack,bitwidth,FP32,22,7.97%,with_precision=276
llmstack,bitwidth,FP8,2,0.72%,with_precision=276
llmstack,bitwidth,other,25,9.06%,with_precision=276
llmstack,raw_tag,F16,94,34.06%,with_precision=276
llmstack,raw_tag,4bit,66,23.91%,with_precision=276
llmstack,raw_tag,Q4_K_M,56,20.29%,with_precision=276
llmstack,raw_tag,Q8_0,33,11.96%,with_precision=276
llmstack,raw_tag,BF16,22,7.97%,with_precision=276
llmstack,raw_tag,FP16,22,7.97%,with_precision=276
llmstack,raw_tag,F32,21,7.61%,with_precision=276
llmstack,raw_tag,Q-other,21,7.61%,with_precision=276
llmstack,raw_tag,8bit,17,6.16%,with_precision=276
llmstack,raw_tag,Q4_0,8,2.90%,with_precision=276
llmstack,raw_tag,Q5_K_M,8,2.90%,with_precision=276
llmstack,raw_tag,IQ-other,5,1.81%,with_precision=276
llmstack,raw_tag,IQ4_XS,3,1.09%,with_precision=276
llmstack,raw_tag,Q4_K_S,3,1.09%,with_precision=276
llmstack,raw_tag,FP8,2,0.72%,with_precision=276
llmstack,raw_tag,Q2_K,2,0.72%,with_precision=276
llmstack,raw_tag,Q6_K,2,0.72%,with_precision=276
llmstack,raw_tag,Q4_1,1,0.36%,with_precision=276
llmstack,raw_tag,Q5_1,1,0.36%,with_precision=276
llmstack,raw_tag,FP32,1,0.36%,with_precision=276
llmstack,raw_tag,Q3_K_S,1,0.36%,with_precision=276
llmstack,raw_tag,IQ2_XXS,1,0.36%,with_precision=276
llmstack,raw_tag,IQ3_XXS,1,0.36%,with_precision=276
