section,kind,key,strict_count,strict_pct,expanded_count,expanded_pct,basis_note
coverage,scope,in_scope,1552,40.52%,1657,43.26%,basis=obtain_or_produce(3830)
coverage,scope,with_identifiable_precision,276,17.78%,294,17.74%,basis=in_scope
bitwidth,bucket,2-bit,3,1.09%,3,1.02%,basis=with_precision_in_scope
bitwidth,bucket,3-bit,2,0.72%,2,0.68%,basis=with_precision_in_scope
bitwidth,bucket,4-bit,130,47.10%,136,46.26%,basis=with_precision_in_scope
bitwidth,bucket,5-bit,9,3.26%,9,3.06%,basis=with_precision_in_scope
bitwidth,bucket,6-bit,2,0.72%,2,0.68%,basis=with_precision_in_scope
bitwidth,bucket,8-bit,48,17.39%,61,20.75%,basis=with_precision_in_scope
bitwidth,bucket,FP16,117,42.39%,120,40.82%,basis=with_precision_in_scope
bitwidth,bucket,FP32,22,7.97%,22,7.48%,basis=with_precision_in_scope
bitwidth,bucket,FP8,2,0.72%,10,3.40%,basis=with_precision_in_scope
bitwidth,bucket,other,25,9.06%,26,8.84%,basis=with_precision_in_scope
raw_tag,tag,F16,94,34.06%,94,31.97%,basis=with_precision_in_scope
raw_tag,tag,4bit,66,23.91%,72,24.49%,basis=with_precision_in_scope
raw_tag,tag,Q4_K_M,56,20.29%,56,19.05%,basis=with_precision_in_scope
raw_tag,tag,Q8_0,33,11.96%,33,11.22%,basis=with_precision_in_scope
raw_tag,tag,BF16,22,7.97%,23,7.82%,basis=with_precision_in_scope
raw_tag,tag,FP16,22,7.97%,25,8.50%,basis=with_precision_in_scope
raw_tag,tag,F32,21,7.61%,21,7.14%,basis=with_precision_in_scope
raw_tag,tag,Q-other,21,7.61%,22,7.48%,basis=with_precision_in_scope
raw_tag,tag,8bit,17,6.16%,31,10.54%,basis=with_precision_in_scope
raw_tag,tag,Q4_0,8,2.90%,8,2.72%,basis=with_precision_in_scope
raw_tag,tag,Q5_K_M,8,2.90%,8,2.72%,basis=with_precision_in_scope
raw_tag,tag,IQ-other,5,1.81%,5,1.70%,basis=with_precision_in_scope
raw_tag,tag,FP8,2,0.72%,10,3.40%,basis=with_precision_in_scope
