section,group,key,count,pct_of_basis,basis
mode_counts,adoption_mode,ollama_backend_only,4594,54.53%,all_offhub=8424
mode_counts,adoption_mode,self_quantized,3171,37.64%,all_offhub=8424
mode_counts,adoption_mode,ollama_obtains_model,659,7.82%,all_offhub=8424
mode_counts,overlap,self_quant_AND_ollama_obtain,29,0.91%,self_quantized=3171
mode_counts,unclassified,unclassified,0,0.00%,all_offhub=8424
tool_family_counts,method_family,GPTQ,677,21.35%,self_quantized=3171
tool_family_counts,method_family,ONNXRuntime,651,20.53%,self_quantized=3171
tool_family_counts,method_family,llama.cpp/GGUF-convert,513,16.18%,self_quantized=3171
tool_family_counts,method_family,torchao,360,11.35%,self_quantized=3171
tool_family_counts,method_family,other,289,9.11%,self_quantized=3171
tool_family_counts,method_family,AWQ,243,7.66%,self_quantized=3171
tool_family_counts,method_family,OpenVINO/NNCF,209,6.59%,self_quantized=3171
tool_family_counts,method_family,quanto,128,4.04%,self_quantized=3171
tool_family_counts,method_family,Intel-NC,94,2.96%,self_quantized=3171
tool_family_counts,method_family,SmoothQuant,77,2.43%,self_quantized=3171
tool_family_counts,method_family,ExLlamaV2,74,2.33%,self_quantized=3171
tool_family_counts,method_family,compressed-tensors,72,2.27%,self_quantized=3171
tool_family_counts,method_family,AMD-Quark,70,2.21%,self_quantized=3171
precision_distribution,coverage,repos_with_identifiable_precision,903,23.58%,obtain_or_produce=3830
precision_distribution,precision_tag,8bit,553,61.24%,with_identifiable_precision=903
precision_distribution,precision_tag,4bit,200,22.15%,with_identifiable_precision=903
precision_distribution,precision_tag,F16,97,10.74%,with_identifiable_precision=903
precision_distribution,precision_tag,Q4_K_M,64,7.09%,with_identifiable_precision=903
precision_distribution,precision_tag,FP16,50,5.54%,with_identifiable_precision=903
precision_distribution,precision_tag,Q8_0,34,3.77%,with_identifiable_precision=903
precision_distribution,precision_tag,FP8,33,3.65%,with_identifiable_precision=903
precision_distribution,precision_tag,Q-other,30,3.32%,with_identifiable_precision=903
precision_distribution,precision_tag,BF16,26,2.88%,with_identifiable_precision=903
precision_distribution,precision_tag,F32,22,2.44%,with_identifiable_precision=903
precision_distribution,precision_tag,FP32,21,2.33%,with_identifiable_precision=903
precision_distribution,precision_tag,Q5_K_M,11,1.22%,with_identifiable_precision=903
precision_distribution,precision_tag,Q4_0,10,1.11%,with_identifiable_precision=903
precision_distribution,precision_tag,IQ-other,5,0.55%,with_identifiable_precision=903
precision_distribution,precision_tag,Q6_K,4,0.44%,with_identifiable_precision=903
precision_distribution,precision_tag,IQ4_XS,3,0.33%,with_identifiable_precision=903
precision_distribution,precision_tag,Q4_K_S,3,0.33%,with_identifiable_precision=903
precision_distribution,precision_tag,Q2_K,3,0.33%,with_identifiable_precision=903
precision_distribution,precision_tag,Q4_1,1,0.11%,with_identifiable_precision=903
precision_distribution,precision_tag,Q5_1,1,0.11%,with_identifiable_precision=903
precision_distribution,precision_tag,Q3_K_S,1,0.11%,with_identifiable_precision=903
precision_distribution,precision_tag,IQ2_XXS,1,0.11%,with_identifiable_precision=903
precision_distribution,precision_tag,IQ3_XXS,1,0.11%,with_identifiable_precision=903
