metric,value
unique_mined_repos,9720
already_counted_in_analysis_set,1296
missed_by_analysis_set,8424
---,---
category:A,5426
"category:A,B",76
category:B,4218
---,---
"coverage:A,B:already_counted",20
"coverage:A,B:missed",56
coverage:A:already_counted,173
coverage:A:missed,5253
coverage:B:already_counted,1103
coverage:B:missed,3115
---,---
repos_with_tool:ollama-python,1681
repos_with_tool:Ollama REST,1019
repos_with_tool:Ollama CLI,827
repos_with_tool:ollama-js,718
repos_with_tool:LangChain Ollama,689
repos_with_tool:torchao,534
repos_with_tool:llama.cpp convert,479
repos_with_tool:Optimum ORT,403
repos_with_tool:GPTQ,364
repos_with_tool:LlamaIndex Ollama,332
repos_with_tool:ONNX Runtime,299
repos_with_tool:gguf-py,296
repos_with_tool:GPTQ:AutoGPTQ,282
repos_with_tool:OpenVINO NNCF,220
repos_with_tool:Ollama Registry,201
repos_with_tool:AWQ:AutoAWQ,191
repos_with_tool:TensorRT,170
repos_with_tool:Ollama Modelfile,165
repos_with_tool:GPTQ:GPTQModel,158
repos_with_tool:GPTQ-for-LLaMa,151
repos_with_tool:Optimum GPTQ,134
repos_with_tool:compressed-tensors,131
repos_with_tool:EETQ,128
repos_with_tool:ExLlamaV2,128
repos_with_tool:OpenVINO,122
repos_with_tool:optimum-quanto,122
repos_with_tool:AMD Quark,121
repos_with_tool:Intel Neural Compressor,116
repos_with_tool:HF GPTQ,110
repos_with_tool:HF AWQ,110
repos_with_tool:MIT llm-awq,107
repos_with_tool:SmoothQuant,103
repos_with_tool:llama.cpp quantize,103
repos_with_tool:Ollama Go SDK,98
repos_with_tool:llm-compressor,81
repos_with_tool:Quanto,56
---,---
repos_with_signal:ollama_py_show,475
repos_with_signal:ollama_js_require,449
repos_with_signal:optimum_ort_quantizer,403
repos_with_signal:torchao_dyn_act,207
repos_with_signal:gguf_py_import,198
repos_with_signal:ollama_py_import,198
repos_with_signal:langchain_ollama_pkg,197
repos_with_signal:ollama_cli_run,196
repos_with_signal:ollama_py_client,196
repos_with_signal:ollama_rest_api_embeddings,195
repos_with_signal:llamaindex_ollama_import,195
repos_with_signal:onnxrt_quantize_dyn,195
repos_with_signal:ollama_rest_api_pull,192
repos_with_signal:gguf_convert_lora,192
repos_with_signal:llamaindex_ollama_pkg,191
repos_with_signal:ollama_js_new,188
repos_with_signal:ollama_py_embed,187
repos_with_signal:torchao_pkg,183
repos_with_signal:gptq_autogptq_pkg,177
repos_with_signal:ollama_cli_push,176
repos_with_signal:tensorrt_int8_calibrator,170
repos_with_signal:gptq_for_llama,151
repos_with_signal:torchao_int8_wo,135
repos_with_signal:gptq_save_quantized,134
repos_with_signal:gptq_quantizer,134
repos_with_signal:gptq_optimum,134
repos_with_signal:compressed_tensors_pkg,131
repos_with_signal:nncf_import,131
repos_with_signal:eetq_import,128
repos_with_signal:openvino_compress,122
repos_with_signal:quanto_optimum_pkg,122
repos_with_signal:gptq_autogptq_class,122
repos_with_signal:amd_quark_pkg,121
repos_with_signal:langchain_comm_ollama,117
repos_with_signal:gguf_convert_hf_hyphen,115
repos_with_signal:ollama_rest_api_embed,115
repos_with_signal:gguf_writer,114
repos_with_signal:gptq_baseconfig,114
repos_with_signal:ollama_rest_localhost,111
repos_with_signal:torchao_int4_wo,111
repos_with_signal:ollama_py_list,110
repos_with_signal:gptq_hf_config,110
repos_with_signal:awq_hf_config,110
repos_with_signal:awq_autoawq_pkg,109
repos_with_signal:langchain_legacy_ollama,108
