year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0.0,0.0,0.0,0.0,1.0
2010,0.0,0.0,0.0,0.0,0.0
2012,1.0,0.0,0.0,0.0,0.0
2013,0.5,0.0,0.0,0.0,0.5
2014,0.4,0.2,0.0,0.2,0.2
2015,0.875,0.0,0.0,0.125,0.0
2016,0.8333,0.0833,0.0,0.0,0.0833
2017,0.4444,0.1111,0.2222,0.2222,0.0
2018,0.6316,0.1053,0.1053,0.0,0.1579
2019,0.6,0.0,0.0,0.1333,0.2667
2020,0.4722,0.0833,0.1389,0.0278,0.2778
2021,0.4848,0.0606,0.1515,0.1212,0.1818
2022,0.4483,0.0517,0.1207,0.069,0.3103
2023,0.4364,0.0848,0.1496,0.0848,0.2444
2024,0.3974,0.1154,0.1447,0.1447,0.1978
2025,0.3338,0.1108,0.1864,0.1121,0.2568
2026,0.5455,0.0455,0.0852,0.0909,0.233
