year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0.0,0.0,0.0,0.0,0.0003
2010,0.0001,0.0,0.0,0.0,0.0
2012,0.0001,0.0,0.0,0.0,0.0003
2013,0.0004,0.0,0.0,0.0,0.0008
2014,0.0008,0.001,0.0,0.0006,0.0003
2015,0.0014,0.0015,0.0,0.0006,0.0006
2016,0.0021,0.001,0.0,0.0,0.0003
2017,0.0014,0.0013,0.0015,0.0026,0.0006
2018,0.0023,0.0021,0.0011,0.0006,0.0014
2019,0.0029,0.0046,0.0004,0.0019,0.0017
2020,0.0046,0.0083,0.0026,0.0026,0.0044
2021,0.0067,0.0067,0.0078,0.0051,0.0039
2022,0.0101,0.0139,0.0056,0.0058,0.021
2023,0.0751,0.0661,0.2154,0.1042,0.128
2024,0.2643,0.3211,0.3498,0.3434,0.2375
2025,0.4513,0.4868,0.3624,0.4386,0.4574
2026,0.1761,0.0854,0.0534,0.0939,0.1418
