year,GGUF,BitsAndBytes,GPTQ,AWQ,Other
2009,0.0,0.0,0.0,0.0,0.002
2010,0.0,0.0,0.0,0.0,0.0
2012,0.0012,0.0,0.0,0.0,0.0
2013,0.0024,0.0,0.0,0.0,0.0041
2014,0.0024,0.0049,0.0,0.0043,0.002
2015,0.0082,0.0,0.0,0.0043,0.0
2016,0.0118,0.0049,0.0,0.0,0.002
2017,0.0047,0.0049,0.0063,0.0087,0.0
2018,0.0141,0.0099,0.0063,0.0,0.0061
2019,0.0106,0.0,0.0,0.0087,0.0082
2020,0.02,0.0148,0.0157,0.0043,0.0204
2021,0.0188,0.0099,0.0157,0.0174,0.0122
2022,0.0306,0.0148,0.022,0.0174,0.0367
2023,0.2059,0.1675,0.1887,0.1478,0.2
2024,0.2553,0.3103,0.2484,0.3435,0.2204
2025,0.3012,0.4187,0.4497,0.3739,0.402
2026,0.1129,0.0394,0.0472,0.0696,0.0837
